TEXT_ADVANCED_ESTAP_SQUADRON,Advanced E-STAP Squadron
TEXT_ADVANCED_ESTAP_SQUADRON_HALF,Advanced E-STAP Squadron 1/2
TEXT_ADVANCED_ESTAP_SQUADRON2,Advanced E-STAP Squadron x2
TEXT_BX_COMMANDO_COMPANY,BX Commando Droid Platoon
TEXT_BX_COMMANDO_SNIPER_SQUAD,BX Commando Droid Sniper Squad
TEXT_BX_COMMANDO_SQUAD,BX Commando Droid Squad
TEXT_BX_COMMANDO_WEAPONS_SQUAD,BX Commando Droid Weapons Squad
TEXT_COMPANY_CIS_CAPITAL,Heart of the Confederacy
TEXT_COMPANY_CIS_SPACE_CAPITAL,Lucrehulk Goliath
TEXT_COMPANY_CISSC_DESCRIPTION,Lucrehulk Goliath serves as a bastion of resistance for the Separatist Remnants. It provides a discount on all military hardware and can be upgraded.
TEXT_COMPANY_CORPORATEHQ,Corporate Headquarters
TEXT_CONQUEST_CIS_REMNANTS, --intro speech--
TEXT_COYOTE_BOMBER_SQUADRON,Coyote Advanced Droid Bomber Squadron
TEXT_COYOTE_BOMBER_SQUADRON_HALF,Coyote Advanced Droid Bomber Squadron 1/2
TEXT_COYOTE_BOMBER_SQUADRON2,Coyote Advanced Droid Bomber Squadron x2
TEXT_CRAB_DROID_COMPANY,Crab Droid Company
TEXT_CRAB_DROID_SQUAD,Crab Droid Squad
TEXT_DISPLAY_CIS_SPACE_CAPITAL,Construction Station: Lucrehulk Goliath
TEXT_EG_BX_COMMANDO_SQUAD,Elite Guard BX Commando Droid Squad
TEXT_EVENT_WARLORD_CHOICE_CIS_REMNANTS,Separatist Remnants
TEXT_GROUND_CIS_ADVANCED_VEHICLE_FACTORY,Droid Heavy Vehicle Factory
TEXT_GROUND_CIS_BARRACKS,Droid Infantry Factory
TEXT_GROUND_CIS_HEAVY_VEHICLE_FACTORY,Piloted Vehicle Factory
TEXT_GROUND_CIS_LIGHT_VEHICLE_FACTORY,Droid Vehicle Factory
TEXT_GROUND_SECURITYDROID_FACTORY,Security Droid Factory
TEXT_HERO_HYPORI,Hypori
TEXT_HERO_K2B4,K2-B4
TEXT_HYENA_SQUADRON,Hyena Bomber Squadron
TEXT_HYENA_SQUADRON_HALF,Hyena Bomber Squadron 1/2
